Doculect	Concept	Form	Note
Shiwilu	CORRECT (RIGHT)		
Shiwilu	RIGHT	ichina	
Shiwilu	RIVER	siladek	
Shiwilu	ROAD	dekkun	
Shiwilu	ROOT	itek	
Shiwilu	ROPE	ilallin	
Shiwilu	ROTTEN		
Shiwilu	RUB	piwipalli	
Shiwilu	SALT	damula	
Shiwilu	SAND	dellu’tek	
Shiwilu	SAY	tapalli	
Shiwilu	SCRATCH	sekwa’palli	
Shiwilu	SEA	kupin-sennan	
Shiwilu	SEE	lli’apalli	
Shiwilu	SEED	lada	
Shiwilu	SEW	pi’per’chapalli	intransative form: pi’pi’yunpalli
Shiwilu	SHARP	denshipa’	
Shiwilu	SHORT	tunka’sha	
Shiwilu	SING	tuluner’apalli	
Shiwilu	SIT	du’apalli	
Shiwilu	SKIN (HUMAN)	tek	
Shiwilu	SKY	Kekki-lu’tek	
Shiwilu	SLEEP	wichia’palli	
Shiwilu	SMALL	damer	
Shiwilu	SMELL (PERCEIVE)	lanerapalli	
Shiwilu	SMOKE (EXHAUST)	kellu	
Shiwilu	SMOOTH	kudi	
Shiwilu	SNAKE	da’wan	
Shiwilu	SNOW	saneklu’	
Shiwilu	SOME	nu’unta’	
Shiwilu	SPIT	dinlu’palli	
Shiwilu	SPLIT		
Shiwilu	SQUEEZE		
Shiwilu	STAB		
Shiwilu	STAND	wanerapalli	
Shiwilu	STAR	tandula	
Shiwilu	STICK	nala	
Shiwilu	STONE	la’pi	
Shiwilu	STRAIGHT	chek	
Shiwilu	SUCK	siserapalli	
Shiwilu	SUN	kekki	
Shiwilu	SWELL		
Shiwilu	SWIM	idunpalli	
Shiwilu	TAIL	llintek	
Shiwilu	THAT	ma’	
Shiwilu	THERE	nanek	
Shiwilu	THEY		
Shiwilu	THICK	tanatek	
Shiwilu	THIN	simen	
Shiwilu	THINK	inlli’inupalli	
Shiwilu	THIS	asu’	
Shiwilu	THOU	kenma	
Shiwilu	THREE	kala	
Shiwilu	THROW	pidatapalli	
Shiwilu	TIE	tenpu’palli	
Shiwilu	TONGUE	ñinekla	
Shiwilu	TOOTH	latek	
Shiwilu	TREE	nala	
Shiwilu	TURN AROUND	tamanerapalli	
Shiwilu	TWO	katu’	
Shiwilu	VOMIT	enmu’palli	
Shiwilu	WALK	dekkuntapalli	
Shiwilu	WARM (OF WEATHER)		
Shiwilu	WASH	pamu’palli	There is a specific form for ‘washing clothes’: peksa’dunpalli
Shiwilu	WATER	dek	
Shiwilu	WE	kenmu’wa’	inclusive form
Shiwilu	WE	kuda	exclusive form
Shiwilu	WET		
Shiwilu	WHAT	ma’	
Shiwilu	WHEN	enpi’i’na	
Shiwilu	WHERE	enkasek	
Shiwilu	WHITE	dadapu	
Shiwilu	WHO	den	
Shiwilu	WIDE	du’wan	
Shiwilu	WIFE	sada	
Shiwilu	WIND	tanluwa	
Shiwilu	WING	anpina	
Shiwilu	WIPE	nawerapalli	
Shiwilu	WITH	=lek
Shiwilu	WOMAN	ku’aper	
Shiwilu	FOREST	tana	
Shiwilu	WORM	tunla	
Shiwilu	YOU	kenmama’	
Shiwilu	YEAR	ekkilala	
Shiwilu	YELLOW	sha’pi’	
