ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	MEANING	SENSE	SENSE_ID
38	1461	AT	=jina	at;  on;  in	at	at-1
39	1291	BACK	iruúnaaja	 belly;  chest; White-Winged Swallow;  species of swallow;  reaching some 13cm in length;  that is usually found along rivers and lakes and is often seen perching on sticks and branches that emerge from the water  It has dark coloring;  between dark blue-green and black;  on its head;  back;  wings;  and tail;  while it throat;  and sides are white; ‘paña muda’;  species of piranha-like fish that reaches 20cm in length;  grayish in color;  it bears vertical stripes on its sides;  found primarily in oxbow lakes;  it is known for not making any sounds when hauled in with hook and line;  unlike most similar fish;  the characteristic from which derives its local Spanish name	 back	back-1
40	1291	BACK	jiwíriku	 back; Short-Crested and/or Dusky-Capped Flycatcher;  bird reaching some 20cm in length;  wtih brown head;  and wings;  gray throat;  and dirty yellow chest and belly	 back	back-2
41	1291	BACK	kataraa	 back;  and wings; Ringed Kinfisher;  the largest species of Kingfisher found in Iquito territory;  reaching some 32cm in length  The males have a gray-blue head;  with a red chest and belly;  and fine barring on the underside of the tail;  the female differs in having a blue bib bordered in white	 back	back-3
42	1291	BACK	nɨɨ́jina	 e g ; back;  the surface of a table; the upper surface of an object;  the upper surface of one’s shoulder;  the surface of a lake;  or the roof of a house	back	back-4
43	1291	BACK	paráana	crest;  speaking both of birds;  such the Harpy Eagle (<[síruku nɨɨsina](LX003067)>);  and animals like the tapir;  which have a crest-like ridge of hairs on the back of the neck; traditional headdress of Iquito men;  which was made out of <[isakúuna](LX000996)> (‘tahuarí’) bark;  and consisted of a headband 5-7cm in width;  pale in color;  to which was attached;  at the back;  a long tail of fibers made by finely splitting another band of the same material  The headband itself was painted with <[karásiika](LX001463)> (‘achiote’) in a repeating geometric design of nested triangles or semicircles  In recent years;  this term has been applied to neo-traditional head adornments that are modeled on Bora feather headdresses; ‘shiririca’;  a type of lure used to fish for <[awáara](LX000600)> (‘tucunaré’);  it consists of yellow and red toucan feathers;  tied a short distance above three or more simple hooks that have been tied together to form a single multi-barbed hook;  the lure is then tied to a short line on a thick fishing pole;  and the lure is made to skip over the surface of the water by drawing it back and forth with the fishing pole	 at the back	attheback-1
44	1291	BACK	simiiku	 pale in color;  to which was attached;  at the back; term of now uncertain reference for adornments worn on the head;  mostly likely the traditional male headdress;  but possibly also other facial or head ornaments used by either sex  The traditional male headdress;  <[paráana](LX002460)>;  consisted of a band of <[isakúuna](LX000996)> (‘tahuarí’) bark;  a long tail of fibers made by finely splitting another band of the same material  The headband itself was painted with <[karásiika](LX001463)> (‘achiote’) in a repeating geometric design of nested triangles or semicircles  This term may have also;  or instead;  been applied to the slender;  shiny shafts of <[nawɨyinakaaja](LX002220)>;  a variety of reed;  which were inserted in holes in the earlobes as adornments  One consultant speculates that this term may have also applied to the nose disks that Iquitos were believed to have worn in the very distant past	 at the back	attheback-2
45	1292	BAD	sɨɨ́sana	bad;  undesirable or substandard in some manner; ugly; irritable;  bad-tempered;  impolite;  or uncooperative;  speaking of people; weedy or overgrown;  said of cultivated or cleared areas	bad	bad-1
46	1204	BARK	ikíini	prepare a load (<[ikija](ikija)>) of <[ijáwɨɨmɨ](LX000784)> (‘irapay’) palm leaves for subsequent bundling (<[ikijɨ́ɨni](LX000824)>);  laying them out carefully on the ground in a line of compact stacks;  with interleaved straps (often made of strips of <[tuuku](tuuku_2)> (‘carahuasca’) or <[paatíina](LX002430)> (‘topa’) bark);  so that it is possible to roll the leaves into a cylindrical bundle and then tighten the straps to make the bundle more compact	 with interleaved straps (often made of strips of <[tuuku](tuuku_2)> (‘carahuasca’) or <[paatíina](LX002430)> (‘topa’) bark)	withinterleavedstrapsoftenmadeofstripsoftuukutuuku2carahuascaorpaatiinaLX002430topabark-1
47	1204	BARK	ipákanɨ́ɨni	suffer from ‘vicio’;  a craving to eat peculiar foods;  such as soil;  bark;  rotten wood;  and charcoal;  generally to due to severe anemia	 bark	bark-1
48	1204	BARK	rurúuni	bark;  said of dogs	bark	bark-2
49	1204	BARK	ísɨkɨ	skin of a person;  or skin or hide of an animal; tree bark; rind;  skin;  or husk of a fruit or tuber; shell;  said of the integument of animals such as turtles;  armadillos and <[waáyuuri](LX003463)> (‘carachamas’)	tree bark	treebark-1
50	1422	BE ALIVE	iwíini	 i e ; be;  live;  exist;  positive existential verb which predicates that a given entity exists and;  in the case of animate entities;  lives; be located in a place;  locative copular verb; live in a place;  typically for prolonged period of time; be in a state;  copular verb for event-stage predicates;  ‘temporary’ states (e g ;  be sad); live one’s life;  full of the typical activities of a person’s daily existence; euphemistic expression for having a sexual relationship with someone	 live	live-1
51	1422	BE ALIVE	namísaana	 i e ;  speaking of inanimate entities; healthy;  in good health;  or uninjured; alive;  living;  not dead; whole;  without damage; entire or whole;  speaking of the quantity of some referent	alive	alive-1
52	1422	BE ALIVE	namísaana	 i e ;  speaking of inanimate entities; healthy;  in good health;  or uninjured; alive;  living;  not dead; whole;  without damage; entire or whole;  speaking of the quantity of some referent	 living	living-1
53	1157	BECAUSE	iyaamiaákuji	because	because	because-1
54	1251	BELLY	apisɨ	Chestnut-eared Araҫari;  species of toucan-like bird that reaches some 45cm in length;  with mostly dark;  long bill;  green back;  wings and trail;  yellow chest;  belly;  and vest;  with the exception of red band across the chest;  and brown head and neck;  except for a dark cap	 belly	belly-1
55	1251	BELLY	iinamináaja	 straight;  belly; Yellow-billed Jacamar;  species of bird reaching some 19cm in length;  with a long;  yellow bill and a relatively long tail  Its throat;  chest;  and the underside of its tail are a rusty red;  while the rest of its plumage is an iridescent green except for a cap of brown feathers  It is generally spotted in the mid-canopy when its trilling call is heard	 belly	belly-2
56	1251	BELLY	iruúnaaja	 belly;  chest; White-Winged Swallow;  species of swallow;  reaching some 13cm in length;  that is usually found along rivers and lakes and is often seen perching on sticks and branches that emerge from the water  It has dark coloring;  between dark blue-green and black;  on its head;  back;  wings;  and tail;  while it throat;  and sides are white; ‘paña muda’;  species of piranha-like fish that reaches 20cm in length;  grayish in color;  it bears vertical stripes on its sides;  found primarily in oxbow lakes;  it is known for not making any sounds when hauled in with hook and line;  unlike most similar fish;  the characteristic from which derives its local Spanish name	 belly	belly-3
57	1251	BELLY	karápisi	 belly;  and tail; ‘lisa colorada’;  species of ‘lisa’-type fish that reaches 25-30cm in length;  and is typically encountered in areas of flooded forest  Generally pale in color;  it lacks the dark side markings of most ‘lisa’ species;  but is notable for the red coloring on its neck	 belly	belly-4
58	1251	BELLY	tanaka	belly;  entending from the end of the rib-cage to the groin;  speaking of the exterior part	belly	belly-5
59	1251	BELLY	tanaja	abdomen;  extending from the navel to the groin;  speaking of its exterior surface	abdomen	abdomen-1
60	1251	BELLY	tɨnɨkɨ	belly (exterior)	belly (exterior)	bellyexterior-1
61	904	BERRY				
62	1202	BIG	ani	big;  large; mother	big	big-1
63	1202	BIG	aniita	big;  large;  great	big	big-2
64	1202	BIG	karatina	ripe;  big;  good to eat;  said specifically of <[támuu](LX003232)> (‘guaba’) fruits;  and the similar fruits of the various ‘shimbillo’ species	 big	big-3
65	1202	BIG	uumáana	 big; large	 big	big-4
66	1202	BIG	ani	big;  large; mother	 large	large-1
67	1202	BIG	aniita	big;  large;  great	 large	large-2
68	1202	BIG	uumáana	 big; large	large	large-3
69	1202	BIG	aniita	big;  large;  great	 great	great-1
70	1202	BIG	aniita namijana	large- or bug-eyed person;  a person with protruding and bulging eyes; having large holes;  said of baskets woven in such a fashion that their weave leaves large holes in the material of the basket	large- or bug-eyed person	largeorbugeyedperson-1
71	1202	BIG	anijákwaa	 e g ;  e g ; relatively big or large;  big or large for a member of a class of entity that is not considered large in a broader sense;  a large chicken;  since chickens as a class are not considered large animals;  this term is not employed for;  a large tapir;  since tapirs are considered large animals in a broader sense	relatively big or large	relativelybigorlarge-1
72	1202	BIG	anijákwaa	 e g ;  e g ; relatively big or large;  big or large for a member of a class of entity that is not considered large in a broader sense;  a large chicken;  since chickens as a class are not considered large animals;  this term is not employed for;  a large tapir;  since tapirs are considered large animals in a broader sense	 big or large for a member of a class of entity that is not considered large in a broader sense	bigorlargeforamemberofaclassofentitythatisnotconsideredlargeinabroadersense-1
73	1202	BIG	mɨɨka	‘añuje avispa’;  a large;  aggressive wasp species measuring 2 5-3cm in length and dark red in color  It builds its nests in fallen logs and is known to attack in large numbers those that approach their nest	 a large	alarge-1
74	937	BIRD	iíwaasi	 e g ; flat animal tail;  be it vertical or horizonal in orientation;  of a fish;  bird;  dolphin;  or a manatee	 bird	bird-1
75	1403	BITE	asáani	 e g ;  spiders;  or wasps; bite or sting;  speaking of snakes or arthropods such as ants; cut superficially;  for something to give a superficial cut or puncture without significantly breaking the skin;  razor grass (<[ariyuuka](ariyuuka)>) cutting the skin when one brushes against it; eat	bite or sting	biteorsting-1
76	1403	BITE	sɨ́ɨni	bite;  speaking of any creature other than arthropods and snakes;  including humans	bite	bite-1
77	163	BLACK	anajúuni	 e g ; treat or cure with smoke;  a medical treatment used mainly for infants and small children whose symptoms;  often diarrhea;  are believed to be due to exposure to the smell of a demon or other malevolent being;  a <[muújinaapɨ](LX002042)> (‘yacuruna’;  merperson)  Materials that emit a strong smell;  such as feathers or horn;  are typically burned under a hammock in which the child is placed;  with the idea that the strong-smelling smoke of these materials will drive away the smell that is causing the child’s illness; cover something with soot by smoking it;  either deliberately as was traditionally done as part of a process to give drinking gourds a shiny;  black;  lacquer-like surface;  or inadvertently;  as when a cooking fire covers roof poles and thatch with soot	 black	black-1
78	163	BLACK	anápuuja	 black; ‘paracuca’ or Trogon;  general term for a number of Trogon species found in Iquito territory  These are frugivorous birds known for nesting in termite nests;  generally measuring some 25cm in length;  with either yellow or red bellies and chests and collars and heads of a another color such as blue;  green;  or brown;  often with green backs;  and often with black faces  They tend to have distinctive white eyerings and long tails that are typically striped with white underneath	 black	black-2
79	163	BLACK	isɨɨja táraati	 black;  flat; ‘pichico shimbillo’ or ‘pashaco de pichico’ species of tree whose trunk reaches some 1m in diameter;  and is logged for timber;  its ‘shimbillo’-like fruits;  resembling large;  bean pods;  cluster in small bunches;  and contain a sweet;  viscous;  sticky substance that is a favorite food of marmosets	 black	black-3
80	163	BLACK	mɨɨ́nana	black;  and extremely dark shades of other colors such as green and brown	black	black-4
81	163	BLACK	mɨɨ́nana amáriiki	 and soft;  black; species of ‘zúngaro’-type catfish that reaches 1 5m in length;  with a slightly paler belly;  it is prized for having a lot of body fat;  tasty flesh  This species is known for being a very strong fish that requires much effort to bring to shore	 black	black-5
82	163	BLACK	mɨsiáani	 and reaches some 10cm in length;  black; species of ‘cunchi’-type fish that lives in creeks and rivers;  with a slightly paler;  dark brown head;  this fish has spurs by its pectoral fins that are considered venomous and are capable of producing painful injuries	 black	black-6
83	163	BLACK	nɨsikáriiyɨ	 black;  according to Iquito oral tradition; general term for ‘nacanacas’ or Coral Snakes;  highly venomous but not particularly aggressive snakes that are known by their brightly colored transverse stripes;  the most common combination in Iquito territory being red;  and white  These snakes are mostly commonly encountered under leaf litter and;  they strike not with their fangs;  but rather with their tails	 black	black-7
84	163	BLACK	sapatina	black	black	black-8
85	946	BLOOD	májaaka	blood	blood	blood-1
86	946	BLOOD	naanaka	blood	blood	blood-2
87	175	BLOW (OF WIND)	atijúuni	 e g ;  e g ; place or set one’s feet to give one a secure stance;  to be able to hold a great weight;  or to resist a push or blow; place post or pole to support something;  the support post of a raised palm wood floor	 or to resist a push or blow	ortoresistapushorblow-1
88	175	BLOW (OF WIND)	núuni	 e g ; burn or flame up;  speaking of a fire at the point that it is producing large flames; blow or blow on something;  to make a fire flame up;  to cool down hot soup;  or to cure a patient;  in the case of a shaman; the largest species of ‘shuyo’-type fish;  reaching some 40cm in length in Iquito territory;  with a dark back;  yellow face;  reddish belly;  and a longitudinal stripe along its side  This fish is noteworthy for making overland migrations in large groups to nearby bodies when its former body of water begins to dry up	blow or blow on something	bloworblowonsomething-1
89	379	BLUNT	tikina	 e g ;  e g ;  e g ;  a pestle; rounded or blunt;  speaking either of something designed to be rounded;  or something that was formerly sharp;  but has been blunted by use;  a fishing spear point that has been struck against a rock;  or an edge that is blunt;  a machete	rounded or blunt	roundedorblunt-1
90	1394	BONE	niiki	bone;  from the large bones of mammals such as humans;  to the tiny bones of small fish; manioc cutting;  section of manioc stalk;  typically cut to some 25-35cm in length for planting;  the cutting is tyically planted by driving it almost entirely into the soil at a shallow angle	bone	bone-1
91	1407	BREATHE	júnɨɨna iríini	breathe	breathe	breathe-1
92	1428	BURNING				
93	1304	CHILD (YOUNG HUMAN)				
94	1489	CLOUD	anajaka	smoke; steam; cloud or mist	cloud or mist	cloudormist-1
95	2483	COLD (OF WEATHER)				
96	1446	COME	aníini	rain; come;  move in the direction of the deictic center; fell tree;  for rain to fall	come	come-1
97	1725	CORRECT (RIGHT)				
98	1420	COUNT	sanitáani	 e g ; try;  test;  try doing something to see if turns out well or in an expected manner;  or test something or someone to determine if they have a desired quality;  test a motor to see if it works;  or test a student in an exam to see if they have learned something; measure or count;  measure some continuous property;  especially;  the length or weight of an object;  count or keep track of some countable set of objects	measure or count	measureorcount-1
99	1420	COUNT	sanitáani	 e g ; try;  test;  try doing something to see if turns out well or in an expected manner;  or test something or someone to determine if they have a desired quality;  test a motor to see if it works;  or test a student in an exam to see if they have learned something; measure or count;  measure some continuous property;  especially;  the length or weight of an object;  count or keep track of some countable set of objects	 count or keep track of some countable set of objects	countorkeeptrackofsomecountablesetofobjects-1
100	1432	CUT	apiyɨɨnɨ́ɨni	 e g ; clear;  cut;  or blaze a path through undergrowth;  said of cutting or blazing a path by lopping the tops off of small vegetation;  typically while traveling through the forest  This is normally done in part to clear the way;  but also to blaze a path to follow back;  or for others to follow  The paths cut in this manner are not intended to serve as long-term paths;  but rather are typically made when departing from an established path;  when following dogs that are pursuing game	 cut	cut-1
101	1432	CUT	asɨ́ɨni	 e g ; cut;  scratch;  or scrape something by means of glancing blow;  in the case of a person or animal;  breaking the skin;  and in the case of an inanimate object;  gouging or scoring the surface;  a spear tip breaking the skin with a glancing blow;  or an animal’s claws gouging the surface of a piece of wood; feed;  give someone food	cut	cut-2
102	1432	CUT	nasikáani	 e g ; break;  cut;  a stick; break something slender;  into two pieces;  such that two surfaces resulting from the break are not clean;  but have splinters;  fibers;  or other irregularities projecting from them (compare <[tijakáani](LX003343)>);  or more commonly;  manioc stalks into pieces some 50-100cm in length;  with the intention of planting them;  note that in this case;  the breaks or cuts between the resulting segments is typically clean ones	 cut	cut-3
103	1432	CUT	rapíini	 e g ;  cut; tear;  or break into small pieces;  a piece of fabric by tearing;  a piece of meat with a knife;  or a glass object by shattering it against a wall	 cut	cut-4
104	1432	CUT	jarakíini	make firewood;  cut or split larger pieces of wood into pieces suitable for using in a cooking fire	 cut or split larger pieces of wood into pieces suitable for using in a cooking fire	cutorsplitlargerpiecesofwoodintopiecessuitableforusinginacookingfire-1
105	1432	CUT	tijakáani	 e g ;  e g ;  a stick;  a rope; cut or break something relatively slender into two wholly distinct pieces;  perpendicular to its axis of greatest length;  such that the break between the pieces be relatively clean and flat;  and not have a ragged edge or have fibers;  splinters;  or the like attached to the broken edges;  the object may be rigid;  or flexible;  and the resulting two pieces may be of any size relative to each other	cut or break something relatively slender into two wholly distinct pieces	cutorbreaksomethingrelativelyslenderintotwowhollydistinctpieces-1
106	1225	DAY (NOT NIGHT)	ɨɨ́jɨkɨya	temporal midpoint;  approximate midpoint of a time period (e g ;  a day) or temporal midpoint of an activity (e g ;  sleeping)	 a day) or temporal midpoint of an activity (e g 	adayortemporalmidpointofanactivityeg-1
107	1225	DAY (NOT NIGHT)	pɨyɨ́ɨni	 e g ;  e g ; come to an end or run out;  referring either to temporal periods;  a day;  or to a determinate number or entities or quantity of substance;  the quantity of food that one has to eat; everything; everyone; all	 a day	aday-1
