ID	CONCEPT	DOCULECT	SUBGROUP	FORM	VALUE	TOKENS	COGID	COGIDS	ALIGNMENT	MORPHEMES	BORROWING	NOTE	SOURCE
140	some	Iquito	Zaparoan	jɨɨ́tipɨ	jɨɨ́tipɨ	h ɨː t i p ɨ	1925	3161	h ɨː t i p ɨ			some	Michael2022
141	to spit	Iquito	Zaparoan	aruukíini	aruukíini	a r uː k iː n i	2677	4451	a r uː k iː n i			spit	Michael2022
142	to split	Iquito	Zaparoan	ijakɨ́ɨni	ijakɨ́ɨni	i h a k ɨː n i	2690	4472	i h a k ɨː n i			split or crack	Michael2022
143	to squeeze	Iquito	Zaparoan	minitáànì	minitáànì	m i n i t aː n i	2701	4491	m i n i t aː n i			None	Michael2022
144	to stab (or stick)	Iquito	Zaparoan	ijiráani	ijiráani	i h i r aː n i	2710	4515	i h i r aː n i			stab	Michael2022
145	to stand	Iquito	Zaparoan	takúuni	takúuni	t a k uː n i	2720	4527	t a k uː n i			stand	Michael2022
146	star	Iquito	Zaparoan	sawija	sawija	s a w i h a	1938	3170	s a w i h a			star	Michael2022
147	stick (of wood)	Iquito	Zaparoan	náànà	náànà	n aː n a	1957	3211	n aː n a			None	Michael2022
148	stone	Iquito	Zaparoan	sawija	sawija	s a w i h a	1972	3243	- - s a.w.i h a			stone	Michael2022
149	straight	Iquito	Zaparoan	kamíkiikaana	kamíkiikaana	k a m i k iː k aː n a	1994	3276	k a m i k iː k aː n a			straight	Michael2022
150	to suck	Iquito	Zaparoan	jíìnì	jíìnì	h iː n i	2731	4543	h iː n i			None	Michael2022
151	sun	Iquito	Zaparoan	nunamija	nunamija	n u n a m i h a	2013	3307	n u n a m i h a			None	Michael2022
152	to swell	Iquito	Zaparoan	purúuni	purúuni	p u r uː n i	2747	4572	p u r uː ( n i )			swell	Michael2022
153	to swim	Iquito	Zaparoan	musíini	musíini	m u s iː n i	2764	4596	m u s iː n i			swim	Michael2022
154	tail	Iquito	Zaparoan	aniáàsì	aniáàsì	a n i aː s i	2035	3343	a n i aː s i			None	Michael2022
155	that	Iquito	Zaparoan	iina	iina	iː n a	2048	146	iː n a			that or which	Michael2022
156	there	Iquito	Zaparoan	tii	tii	t iː	2066	147	- t iː			there	Michael2022
157	they	Iquito	Zaparoan	na=	na=	n a	2076	148	n a			they	Michael2022
158	thick	Iquito	Zaparoan	yaasina	yaasina	j aː s i n a	2100	3472	j aː s i n a			thick	Michael2022
159	thin	Iquito	Zaparoan	kiísana	kiísana	k iː s a n a	2116	174	k iː s a n a			thin	Michael2022
160	to think	Iquito	Zaparoan	saminiijúuni	saminiijúuni	s a m i n iː h uː n i	2780	4624	s a m i n iː h uː n i			think	Michael2022
161	this	Iquito	Zaparoan	iina	iina	iː n a	2131	178	iː n a			None	Michael2022
162	thou	Iquito	Zaparoan	kiaa=	kiaa=	kʲ aː	2143	3553	kʲ aː			None	Michael2022
163	three	Iquito	Zaparoan	sɨɨ́saramaajɨtáami	sɨɨ́saramaajɨtáami	s ɨː s a r a m aː h ɨ t aː m i	2161	3587	s ɨː s a r a m aː h ɨ t aː m i			three	Michael2022
164	to throw	Iquito	Zaparoan	simaajuutáani	simaajuutáani	s i m aː h uː t aː n i	2796	4658	s i m aː h uː t aː n i			throw	Michael2022
165	to tie	Iquito	Zaparoan	tiníini	tiníini	t i n iː n i	2813	4688	t i n iː n i			tie or secure a rope to an entity	Michael2022
166	tongue	Iquito	Zaparoan	nɨɨti	nɨɨti	n ɨː t i	2875	4810	n ɨː t i			tongue	Michael2022
167	tooth (front rather than molar)	Iquito	Zaparoan	iika	iika	iː k a	2893	4845	iː k a - -			tooth or fang	Michael2022
168	tree	Iquito	Zaparoan	náana	náana	n aː n a	2915	207	n aː - - n a			tree	Michael2022
169	to turn (change one's direction)	Iquito	Zaparoan	takɨtɨ́ɨni	takɨtɨ́ɨni	t a k ɨ t ɨː n i	2827	4722	t a k ɨ t ɨː n i			turn around	Michael2022
170	two	Iquito	Zaparoan	kuumi	kuumi	k uː m i	2931	4924	k uː m i - -			two	Michael2022
171	two	Iquito	Zaparoan	kuupɨ	kuupɨ	k uː p ɨ	2931	4924	k uː p ɨ - -			two	Michael2022
172	to vomit	Iquito	Zaparoan	ikiníini	ikiníini	i k i n iː n i	2834	4732	i k i n iː n i			vomit	Michael2022
173	to walk	Iquito	Zaparoan	iikúuni	iikúuni	iː k uː n i	2849	4758	iː k uː n i			walk	Michael2022
174	warm (of weather)	Iquito	Zaparoan	íípànàna	íípànàna	iː p a n a n a	2956	4968	iː p a n a n a			None	Michael2022
175	to wash	Iquito	Zaparoan	sikitáani	sikitáani	s i k i + t aː n i	2859	4781 209	s i k i + t aː n i			wash	Michael2022
176	water	Iquito	Zaparoan	aaka	aaka	aː k a	2960	4973	- - - aː k a			water	Michael2022
177	we	Iquito	Zaparoan	kana=	kana=,pɨ́ɨ́=	k a n a	2987	5018	k a n a - -			None	Michael2022
178	we	Iquito	Zaparoan	pɨ́ɨ́=	kana=,pɨ́ɨ́=	p ɨː	2996	5027	p ɨː ( - - - )			None	Michael2022
179	wet	Iquito	Zaparoan	pikana	pikana	p i k a n a	3000	211	p i k a n a			wet	Michael2022
180	what?	Iquito	Zaparoan	saakaa	saakaa	!s/k aː !k/s aː	3018	5080	!s/k aː !k/s aː			what	Michael2022
181	when?	Iquito	Zaparoan	jɨɨ́tikari	jɨɨ́tikari	h ɨː t i k a r i	3035	5108	( h ɨː t i ) k a r i			when	Michael2022
182	where?	Iquito	Zaparoan	tɨɨti	tɨɨti	t ɨː t i	3048	5132	t ɨː t i			where	Michael2022
183	white	Iquito	Zaparoan	musútina	musútina	m u s u t i n a	3068	5168	m u s u t i n a			white	Michael2022
184	who?	Iquito	Zaparoan	kánɨɨka	kánɨɨka	k a n ɨː k a	3087	5200	k a n ɨː k a - -			who	Michael2022
185	wide	Iquito	Zaparoan	parina	parina	p a r i n a	3108	5235	p a r i n a			wide or broad	Michael2022
186	wife	Iquito	Zaparoan	majáana	majáana	m a h aː n a	3123	5259	m a h aː n a			wife	Michael2022
187	wind	Iquito	Zaparoan	akíraja	akíraja	a k i r a h a	3139	5283	a k i r a h a			wind or breeze	Michael2022
188	wing	Iquito	Zaparoan	námaku	námaku	n a m a k u	3157	5311	n a m a k u			wing	Michael2022
189	to wipe	Iquito	Zaparoan	pɨ́ɨni	pɨ́ɨni	p ɨː n i	2868	4802	p ɨː n i			wipe or clean oneself after defecating	Michael2022
190	with (accompanying)	Iquito	Zaparoan	=jata	=jata	h a t a	3172	5332	h a t a			with	Michael2022
191	woman	Iquito	Zaparoan	mɨɨsaji	mɨɨsaji	m ɨː s a h i	3182	5352	m ɨː s a h i			woman	Michael2022
192	year	Iquito	Zaparoan	amáriyaana	amáriyaana	a m a r i j aː n a	3249	5473	a m a r i j aː ( n a )			year	Michael2022
193	yellow	Iquito	Zaparoan	nɨyana	nɨyana	n ɨ j a n a	3268	5497	n ɨ j a n a			None	Michael2022
194	ye	Iquito	Zaparoan	kina=	kina=	k i n a	3236	5443	k i n a - -			None	Michael2022
195	and	Ticuna	Ticuna-Yuri	ka̰	ka̰	k a	34	70	k a			and	Bertet2020
196	and	Ticuna	Ticuna-Yuri	ñṵã́chi̋	ñṵã́chi̋∼ rṵ̈ã́chi̋∼ chi̋	ɲ u + a tɕ i	33	69 762	ɲ u + a tɕ i			and	Bertet2020
197	and	Ticuna	Ticuna-Yuri	rṵ̈ã́chi̋	ñṵã́chi̋∼ rṵ̈ã́chi̋∼ chi̋	ɾ ɯ + a tɕ i	33	69 762	ɾ ɯ + a tɕ i			and	Bertet2020
198	and	Ticuna	Ticuna-Yuri	chi̋	ñṵã́chi̋∼ rṵ̈ã́chi̋∼ chi̋	tɕ i	33	762	- tɕ i			and	Bertet2020
199	and	Ticuna	Ticuna-Yuri	rǜ	rǜ(∼ dǜ)	ɾ ɯ	33	69	ɾ ɯ			and	Bertet2020
200	animal	Ticuna	Ticuna-Yuri	-ēʼü̃̀	-ēʼü̃̀	e ʔ ɯ	47	90	e ʔ ɯ			[+tr.] animal	Bertet2020
201	bad (deleterious or unsuitable)	Ticuna	Ticuna-Yuri	chiʼ̂è	chiʼ̂è	tɕ i ʔ e	114	196	tɕ i ʔ e			be bad	Bertet2020
202	bark	Ticuna	Ticuna-Yuri	g̃ȕʼu	g̃ȕʼu	ŋ u ʔ u	134	227	ŋ u ʔ u			bark	Bertet2020
203	because	Ticuna	Ticuna-Yuri	ērǘ	ērǘ∼ ngērǘ	e ɾ ɯ	145	249	- e ɾ ɯ			because	Bertet2020
204	because	Ticuna	Ticuna-Yuri	ngērǘ	ērǘ∼ ngērǘ	ŋ e ɾ ɯ	145	249	ŋ e ɾ ɯ			because	Bertet2020
205	because	Ticuna	Ticuna-Yuri	ye̊rǘ	ye̊rǘ	dʑ e ɾ ɯ	145	249	dʑ e ɾ ɯ			because (pre-hod. past)	Bertet2020
206	belly	Ticuna	Ticuna-Yuri	-pǜtǖwē	-pǜtǖwē	p ɯ t ɯ w e	163	271	p ɯ t ɯ w e			belly	Bertet2020
207	big	Ticuna	Ticuna-Yuri	tá	tá	t a	188	325	t a - -			be big	Bertet2020
208	to bite	Ticuna	Ticuna-Yuri	bü̆ʼü	bü̆ʼü	b ɯ ʔ ɯ	2191	3630	b ɯ ʔ ɯ			bite	Bertet2020
209	to bite	Ticuna	Ticuna-Yuri	chí	chí	tɕ i	2186	3624	tɕ i			bite	Bertet2020
